产品大类 	细分产品 	具体产品 								
单机装备 	安全输注类 	包括医用针零部件自动组装机、医用导管零部件自动组装机、注射器零部件自动组装机等。 								
单机装备 	血液净化类 	包括回血器焊接自动组装机、空气壶自动组装机、翼式锁紧头组装机等。 								
连线机装备 	安全输注类 	包括胰岛素针自动组装机、留置针自动组装机、采血针细导管自动组装机、静脉针细导管自动组装机、一次性输液器自动组装机等。 								
连线机装备 	血液净化类 	包括透析器自动组装机、透析管路自动组装机等。 								
										
产品类别 	公司生产的智能装备 	客户使用智能装备生产的医用耗材 								
   安全输注类 	 	 								
  血液净化类 	 	  								
										
序号 	医用耗材类别 	公司智能装备的研发、生产情况 								
1 	输注、护理和防护类耗材 	相关智能装备已实现单机设备、连线机设备的规模化生产，未来将向智能程度更高的全自动生产线、智能工厂方向进一步研发和深化 								
2 	透析、输血和体外循环类耗材 	相关智能装备已实现单机设备、连线机设备的规模化生产，未来将向智能程度更高的全自动生产线、智能工厂方向进一步研发和深化 								
3 	临床检验类耗材 	公司已研发、生产了少量智能装备 								
4 	心血管和神经手术类耗材 	公司的智能装备处于研发阶段，已有正在与客户洽谈的意向订单 								
5 	骨科手术类耗材 	公司的智能装备处于研发阶段，已有正在与客户洽谈的意向订单 								
6 	药械组合类耗材 	公司的智能装备处于研发阶段，已有正在与客户洽谈的意向订单 								
7 	有源手术类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
8 	无源手术类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
9 	医用成像类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
10 	医用诊察和监护类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
11 	无源植入类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
12 	呼吸、麻醉和急救类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
13 	眼科类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
14 	口腔科类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
15 	妇产科、辅助生殖和避孕类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
16 	中医类耗材 	公司尚未涉足该类别医用耗材的智能装备的研发、生产 								
										
序号 	文件名 	发文单位 	发文时间 	主要内容 						
1 	《装备制造业调整和振兴规划》 	国务院 	2009年 5 月 	坚持装备自主化与重点建设工程相结合，加强政策支持和市场引导，充分利用实施重点建设工程和调整振兴重点产业形成的市场需求，加快推进装备自主化，保障工程需要，带动产业发展。 						
2 	《关于加快培育和发展战略性新兴产业的决定》（国发[2010]32  号） 	工信部、科技部、财政部、国家标准化管理委员会 	2010年 10月 	将高端装备制造业列为重点发展的战略新兴产业之一，并指出要“强化基础配套能力，积极发展以数字化，柔性化及系统集成技术为核心的智能制造装备”。 						
3 	《产业结构调整指导目录（ 2011 年本）》（2016 年修订） 	国家发改委 	2013年 2 月 	鼓励类中的“十四 机械”之“35、机器人及工业机器人成套系统” 						
