产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
2014.7 	国家电网公司 	发布《2015-2020年电网智能化滚动规划指南》 	到2020年，全面推广应用输变电状态监测、直升机巡检、无人机巡检和机器人巡检等先进技术，实现输变电设备的智能巡检、电网运行状态的实时评估和辅助决策，全面建成具有信息化、自动化和互动化特征的智能电网 					
2017.8 	南方电网公司 	《南方电网“十三五”智能电网发展规划研究报告》 	智能电网架构体系涵盖“5个环节+4个支撑体”等九大领域。5个环节分别为：清洁友好的发电、安全高效的输变电、灵活可靠的配电、多样互动的用电、智慧能源与能源互联网。4个支撑体系分别为：全面贯通的通信网络、高效互动的调度及控制体系、集成共享的信息平台、全面覆盖的技术保障体系等 					
								
阶段 	期间 	电网总投资 	智能电网总投资 	智能电网投资占比 				
第一阶段 	2009-2010 年 	5,510 	341 	6.19% 				
第二阶段 	2011-2015 年 	15,000 	1,750 	11.67% 				
第三阶段 	2016-2020 年 	14,000 	1,750 	12.50% 				
								
项目/年份 	2011 	2012 	2013 	2014 	2015 	总计 	占比 	
智能电网计划投资 	518.30 	618.20 	633.30 	571.40 	520.00 	2,861.20 	- 	
其中：输变电设备状态监测系统计划投资 	12.40 	15.20 	15.20 	15.60 	15.30 	73.70 	2.58% 	
配电自动化与配网调控一体化计划投资 	55.00 	55.00 	87.00 	32.00 	32.00 	261.00 	9.12% 	
								
项目/年份 	2011 	2012 	2013 	2014 	2015 	2016 		
电网投资 	3,019.00   	3,054.00   	3,379.00   	3,385.00   	4,521.00   	4,977.00   		
								
项目/年份 	2011 	2012 	2013 	2014 	2015 	2011-2015总计 	2011-2015平均 	2016 
智能电网投资 	515.01   	520.98   	576.42   	577.44   	771.23   	2,961.07   	592.21 	849.02   
其中：输变电设备状态监测系统计划投资 	13.29 	13.44 	14.87 	14.90 	19.90 	76.40 	15.28 	21.90 
配电自动化与配网调控一体化计划投资 	46.97 	47.51 	52.57 	52.66 	70.34 	270.05 	54.01 	77.43 
								
变电站类型 	变电站数量（座） 	室外巡检机器人 	室外巡检机器人 	室内导轨巡检机器人 	室内导轨巡检机器人 			
变电站类型 	变电站数量（座） 	（台/站） 	估量 	（台/站） 	估量 			
750，800，1,000kV 	69 	2~3 	173 	3~5 	276 			
330~660kV 	907 	1~2 	1,361 	2~3 	2,268 			
220kV 	5,930 	1 	5,930 	1~2 	8,895 			
66,110kV 	27,715 	1 	27,715 	1 	27,715 			
总计 	34,621 	- 	35,179 	- 	39,154 			
								
序号 	公司名称 	概况 	资产规模 	生产规模 	销售规模 	经营状况 		
1 	红相电力 	成立于 2005 年，股票代码 300427，主要从事 电 力 设 备 状 态 检测、监测产品和电能表的研发、生产和销售，并提供相关技术服务 	资产总额8.94 亿元 	电力设备状态检测监测产品产量43,132 台 	电力设备状态检测监测产品销售收入2.31 亿元 	营业收入 4.11亿元，净利润0.85 亿元 		
2 	理工环科 	成立于 2000 年，股票代码 002322，从事变压器在线监测产品的研发、设计、生产和销售 	资产总额32.61 亿元 	电力在线监测产品产量1,404 台 	电力在线监测系统销售收入0.91 亿元 	营业收入 6.87亿元，净利润1.50 亿元 		
3 	金源电气 	成立于 2001 年，股票代码 835429，从事智能电网在线监测与诊断技术的研究、输变电监测系统及大电流限流开关设备等产品的设计、开发、制造、销售和服务 	资产总额2.55 亿元 	输变电在线监测产品无公开数据 	输变电在线监测产品销售收入 0.46 亿元 	营业收入 0.50亿元，净利润-53.71 万元 		
								
序号 	公司名称 	概况 	资产规模 	生产规模 	销售规模 	经营状况 		
1 	朗驰欣创 	成立于 2005 年，股票代码 838035，专业从事智能服务机器人、特种行业变电站智能巡检机器人研发、生产、销售和服务 	资产总额2.64 亿元 	巡检机器人产量无公开资料 	巡检机器人销售收入0.87 亿元 	营业收入1.65 亿元，净利润 0.22亿元 		
2 	鲁能智能 	成立于 2000 年，主要面向电网、发电、冶金、煤炭等行业开展电气自动化、企业信息化和电力行业特种机器人等业务 	注册资本5000 万 	巡检机器人产量无公开资料 	巡检机器人销售收入无公开资料 	已经有多台台变电站设备巡检机器人、线路除冰机器人投入运行 		
3 	浙江国自 	成立于 2010 年，主要专注于无人搬运车 AGV、巡检机器人、机器视觉平台等机器人产品 	资产总额1.60 亿元 	巡检机器人产量无公开资料 	巡检机器人销售收入无公开资料 	巡检机器人产品投入变电站运营的时间，在已有公开资料中最早见于2013 年；2016 年营业收入 1.49 亿元，净利润169.83 万元 		
