公司	类型	时间	名称	内容	金额	占比	金额单位
佳化化学股份有限公司	客户	2016年度	基仕伯集团	未提及	18,614.84	7.60%	万元
佳化化学股份有限公司	客户	2016年度	巴斯夫集团	未提及	14,191.27	5.79%	万元
佳化化学股份有限公司	客户	2016年度	PEIK FOAM CO.	未提及	6,048.77	2.47%	万元
佳化化学股份有限公司	客户	2016年度	CHIYOWA TSUSHO CORP.,LTD	未提及	3,325.54	1.36%	万元
佳化化学股份有限公司	客户	2016年度	上海聚尚国际贸易有限公司	未提及	3,155.81	1.29%	万元
佳化化学股份有限公司	客户	2015年度	格雷斯集团	未提及	13,705.79	5.52%	万元
佳化化学股份有限公司	客户	2015年度	巴斯夫集团	未提及	9,500.09	3.83%	万元
佳化化学股份有限公司	客户	2015年度	浙江五龙新材股份有限公司	未提及	3,909.98	1.57%	万元
佳化化学股份有限公司	客户	2015年度	MIDDLE EAST FZE 客户群	未提及	3,735.64	1.50%	万元
佳化化学股份有限公司	客户	2015年度	烟台市顺达客户群	未提及	3,063.51	1.23%	万元
佳化化学股份有限公司	供应商	2016年度	中石化集团	未提及	54,652.15	25.69%	万元
佳化化学股份有限公司	供应商	2016年度	利安德集团	未提及	28,939.77	13.60%	万元
佳化化学股份有限公司	供应商	2016年度	中石油集团	未提及	23,769.59	11.17%	万元
佳化化学股份有限公司	供应商	2016年度	三江集团	未提及	20,529.61	9.65%	万元
佳化化学股份有限公司	供应商	2016年度	滨化集团	未提及	18,855.06	8.86%	万元
佳化化学股份有限公司	供应商	2015年度	中石化集团	未提及	62,660.67	29.61%	万元
佳化化学股份有限公司	供应商	2015年度	利安德集团	未提及	32,524.05	15.37%	万元
佳化化学股份有限公司	供应商	2015年度	中石油集团	未提及	19,009.88	8.98%	万元
佳化化学股份有限公司	供应商	2015年度	滨化集团	未提及	18,030.05	8.52%	万元
佳化化学股份有限公司	供应商	2015年度	三江集团	未提及	17,783.71	8.40%	万元

中简科技股份有限公司	客户	2016年1-6月	客户A	未提及	3,974.49	50.60%	万元
中简科技股份有限公司	客户	2016年1-6月	客户C	未提及	627.18	7.99%	万元
中简科技股份有限公司	客户	2016年1-6月	客户K	未提及	14.96	0.19%	万元
中简科技股份有限公司	客户	2016年1-6月	客户B	未提及	3,227.65	41.10%	万元
中简科技股份有限公司	客户	2016年1-6月	常州利尔德通新材料科技有限公司	未提及	9.71	0.12%	万元
中简科技股份有限公司	客户	2016年1-6月		客户F	未提及	0.12	0.00%	万元
中简科技股份有限公司	客户	2015年度	客户A	未提及	10,150.09	74.50%	万元
中简科技股份有限公司	客户	2015年度	客户C	未提及	658.31	4.83%	万元
中简科技股份有限公司	客户	2015年度	客户E	未提及	51.28	0.38%	万元
中简科技股份有限公司	客户	2015年度	客户K	未提及	7.48	0.05%	万元
中简科技股份有限公司	客户	2015年度	客户B	未提及	2,455.80	18.03%	万元
中简科技股份有限公司	客户	2015年度	哈尔滨工业大学	未提及	97.44	0.72%	万元
中简科技股份有限公司	客户	2015年度	常州特诺复合材料有限公司	未提及	84.74	0.62%	万元
中简科技股份有限公司	客户	2015年度	客户F	未提及	26.96	0.20%	万元
中简科技股份有限公司	供应商	2016年1-6月	江苏省电力公司常州供电公司	未提及	417.51	32.58%	万元
中简科技股份有限公司	供应商	2016年1-6月	林德气体（常州）有限公司	未提及	153.08	11.95%	万元
中简科技股份有限公司	供应商	2016年1-6月	常州市长江热能有限公司	未提及	109.09	8.51%	万元
中简科技股份有限公司	供应商	2016年1-6月	江阴市深腾石化贸易有限公司	未提及	105.51	8.23%	万元
中简科技股份有限公司	供应商	2016年1-6月	黄骅市永胜模具有限公司	未提及	59.83	4.67%	万元
中简科技股份有限公司	供应商	2015年度	江苏省电力公司常州供电公司	未提及	898.28	38.79%	万元
中简科技股份有限公司	供应商	2015年度	江阴市深腾石化贸易有限公司	未提及	310.20	13.40%	万元
