公司	类型	时间	名称	内容	金额	占比	金额单位
郑州三晖电气股份有限公司	客户	2016年1-9月	国家电网公司	未提及	9,235.35	73.44%	万元
郑州三晖电气股份有限公司	客户	2016年1-9月	宁波三星医疗电气股份有限公司	未提及	872.23	6.94%	万元
郑州三晖电气股份有限公司	客户	2016年1-9月	山西省计量科学研究院	未提及	406.92	3.24%	万元
郑州三晖电气股份有限公司	客户	2016年1-9月	中国南方电网有限责任公司	未提及	348.91	2.77%	万元
郑州三晖电气股份有限公司	客户	2016年1-9月	陕西精新机电工程设备有限公司	未提及	247.86	1.97%	万元
郑州三晖电气股份有限公司	客户	2015年	国家电网公司	未提及	16,591.63	79.09%	万元
郑州三晖电气股份有限公司	客户	2015年	威胜集团有限公司	未提及	940.02	4.48%	万元
郑州三晖电气股份有限公司	客户	2015年	宁波三星医疗电气股份有限公司	未提及	469.15	2.24%	万元
郑州三晖电气股份有限公司	客户	2015年	青岛高科通信股份有限公司	未提及	357.26	1.70%	万元
郑州三晖电气股份有限公司	客户	2015年	南京能瑞自动化设备股份有限公司	未提及	231.62	1.10%	万元
郑州三晖电气股份有限公司	供应商	2016年1-9月	郑州捷特电器有限公司	未提及	19.22	58.68%	万元
郑州三晖电气股份有限公司	供应商	2016年1-9月	河南居正电子有限公司	未提及	8.18	24.97%	万元
郑州三晖电气股份有限公司	供应商	2016年1-9月	郑州市装联电子有限公司	未提及	2.44	7.45%	万元
郑州三晖电气股份有限公司	供应商	2016年1-9月	郑州建昆仪器仪表有限公司	未提及	1.91	5.84%	万元
郑州三晖电气股份有限公司	供应商	2016年1-9月	郑州市奋发电子有限公司	未提及	0.72	2.19%	万元
郑州三晖电气股份有限公司	供应商	2015年	郑州捷特电器有限公司	未提及	96.78	34.92%	万元
郑州三晖电气股份有限公司	供应商	2015年	河南居正电子有限公司	未提及	57.00	20.57%	万元
郑州三晖电气股份有限公司	供应商	2015年	郑州市装联电子有限公司	未提及	39.48	14.25%	万元
郑州三晖电气股份有限公司	供应商	2015年	河南昌隆电子有限公司	未提及	36.26	13.08%	万元
郑州三晖电气股份有限公司	供应商	2015年	郑州建昆仪器仪表有限公司	未提及	24.63	8.89%	万元

佳禾智能科技股份有限公司	客户	2017年度	Harman	耳机	44,299.21	36.38%	万元
佳禾智能科技股份有限公司	客户	2017年度	PEAG	耳机	13,151.86	10.80%	万元
佳禾智能科技股份有限公司	客户	2017年度	万魔声学	耳机	11,949.63	9.81%	万元
佳禾智能科技股份有限公司	客户	2017年度	House of Marley	耳机、音箱	6,685.28	5.49%	万元
佳禾智能科技股份有限公司	客户	2017年度	易力声	音频线	6,606.27	5.42%	万元
佳禾智能科技股份有限公司	客户	2016年度	Harman	耳机	21,583.87	26.46%	万元
佳禾智能科技股份有限公司	客户	2016年度	House of Marley	耳机、音箱	7,902.46	9.69%	万元
佳禾智能科技股份有限公司	客户	2016年度	易力声	音频线	7,547.78	9.25%	万元
佳禾智能科技股份有限公司	客户	2016年度	万魔声学	耳机	6,009.75	7.37%	万元
佳禾智能科技股份有限公司	客户	2016年度	ZAGG	耳机	5,523.12	6.77%	万元
佳禾智能科技股份有限公司	供应商	2017年度	深圳市丰禾原电子科技有限公司	PCBA	9,706.09	12.02%	万元
佳禾智能科技股份有限公司	供应商	2017年度	珠海市鹏辉电池有限公司/珠海鹏辉能源有限公司	电池	3,141.82	3.89%	万元
佳禾智能科技股份有限公司	供应商	2017年度	深圳市晶讯软件通讯技术有限公司	PCBA	2,941.24	3.64%	万元
佳禾智能科技股份有限公司	供应商	2017年度	深圳市英讯电子科技有限公司	PCBA	2,818.55	3.49%	万元
佳禾智能科技股份有限公司	供应商	2017年度	深圳大仁科技有限公司	喇叭	2,427.46	3.01%	万元
佳禾智能科技股份有限公司	供应商	2016年度	深圳市丰禾原电子科技有限公司	PCBA	7,148.98	13.44%	万元
佳禾智能科技股份有限公司	供应商	2016年度	深圳市英讯电子科技有限公司	PCBA	2,128.65	4.00%	万元
佳禾智能科技股份有限公司	供应商	2016年度	东莞市美盈森环保科技有限公司	包材	1,812.57	3.41%	万元
佳禾智能科技股份有限公司	供应商	2016年度	重庆市紫建电子有限公司	电池	1,787.06	3.36%	万元
佳禾智能科技股份有限公司	供应商	2016年度	东莞市华诚塑胶化工有限公司	胶粒	1,641.63	3.09%	万元

迈得医疗工业设备股份有限公司	客户	2016年	江西洪达	安全输注类智能装备	4,893.16	35.09%	万元
迈得医疗工业设备股份有限公司	客户	2016年	三鑫医疗	安全输注类智能装备、血液净化类智能装备	1,991.84	14.29%	万元
迈得医疗工业设备股份有限公司	客户	2016年	江苏吉春	安全输注类智能装备	安全输注类智能装备	1,548.43	11.11%	万元
迈得医疗工业设备股份有限公司	客户	2016年	山东威高	安全输注类智能装备	1,477.22	10.59%	万元
迈得医疗工业设备股份有限公司	客户	2016年	江西科伦	安全输注类智能装备	633.21	4.54%	万元
迈得医疗工业设备股份有限公司	客户	2015年	江西洪达	安全输注类智能装备	5,073.50	35.06%	万元
迈得医疗工业设备股份有限公司	客户	2015年	山东威高	安全输注类智能装备	2,009.67	13.89%	万元
迈得医疗工业设备股份有限公司	客户	2015年	三鑫医疗	安全输注类智能装备、血液净化类智能装备	1,727.54	11.94%	万元
迈得医疗工业设备股份有限公司	客户	2015年	江西科伦	安全输注类智能装备	923.98	6.38%	万元
迈得医疗工业设备股份有限公司	客户	2015年	江西益康	安全输注类智能装备	700.09	4.84%	万元
迈得医疗工业设备股份有限公司	供应商	2016年	SMC中国有限公司上海分公司	标准件	779.45	14.19%	万元
迈得医疗工业设备股份有限公司	供应商	2016年	东莞市梦博精密机械有限公司	定制采购件	319.81	5.82%	万元
迈得医疗工业设备股份有限公司	供应商	2016年	广东宏德精密机械有限公司	定制采购件	349.91	6.37%	万元
迈得医疗工业设备股份有限公司	供应商	2016年	欧姆龙通灵自动化系统（杭州）有限公司	标准件	272.60	4.96%	万元
迈得医疗工业设备股份有限公司	供应商	2016年	基恩士（中国）有限公司	标准件	252.97	4.61%	万元
