公司	类型	时间	名称	内容	金额	占比	金额单位
扬州晨化新材料股份有限公司	客户	2016年1-6月	中化国际（控股）股份有限公司	阻燃剂	927.26	3.39%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	南京太化化工有限公司	表面活性剂	737.23	2.69%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	无锡南方石油添加剂有限公司	表面活性剂	471.93	1.72%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	浙江亿得化工有限公司	表面活性剂	454.91	1.66%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	温岭市天马助剂有限公司	表面活性剂	297.25	1.09%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	杭州优立化工有限公司	表面活性剂	281.91	1.03%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	宁顺集团有限公司	阻燃剂	277.09	1.01%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	江西三越新材料有限公司	表面活性剂	259.71	0.95%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	WYNCA SUNSHINE AGRIC PRODUCTS&TRADING COMPANY(GHANA)LIMITED	表面活性剂	238.31	0.87%	万元
扬州晨化新材料股份有限公司	客户	2016年1-6月	QUIMIDROGA S.A.	阻燃剂、表面活性剂	230.30	0.84%	万元
扬州晨化新材料股份有限公司	客户	2015年度	中化国际（控股）股份有限公司	阻燃剂	1,724.99	3.12%	万元
扬州晨化新材料股份有限公司	客户	2015年度	浙江亿得化工有限公司	表面活性剂	1,187.35	2.14%	万元
扬州晨化新材料股份有限公司	客户	2015年度	QUIMIDROGA S.A.	阻燃剂、表面活性剂	1,105.21	2.00%	万元
扬州晨化新材料股份有限公司	客户	2015年度	石家庄同成煤矿安全器材有限公司	阻燃剂	969.38	1.75%	万元
扬州晨化新材料股份有限公司	客户	2015年度	南京太化化工有限公司	表面活性剂	791.09	1.43%	万元
扬州晨化新材料股份有限公司	客户	2015年度	无锡南方石油添加剂有限公司	表面活性剂	718.14	1.30%	万元
扬州晨化新材料股份有限公司	客户	2015年度	杭州优立化工有限公司	表面活性剂	614.12	1.11%	万元
扬州晨化新材料股份有限公司	客户	2015年度	潍坊天福化学科技有限公司	表面活性剂	550.77	0.99%	万元
扬州晨化新材料股份有限公司	客户	2015年度	EPAFLEX POLYURETHANES SRL	表面活性剂	537.70	0.97%	万元
扬州晨化新材料股份有限公司	客户	2015年度	温岭市天马助剂有限公司	表面活性剂	471.13	0.85%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	中国石化化工销售有限公司华东分公司	环氧乙烷	2,122.79	12.60%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	武汉市四方行化工有限公司	脂肪醇	1,434.44	8.52%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	合盛硅业股份有限公司	生胶	921.42	5.47%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	漯河市新旺化工有限公司	亚磷酸三甲酯、亚磷酸三乙酯	876.10	5.20%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	江苏德懋源进出口有限公司	环氧丙烷	848.29	5.04%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	山东金岭化工股份有限公司	环氧丙烷	786.76	4.67%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	南京金浦锦湖化工有限公司	环氧丙烷	763.99	4.54%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	江苏天源化工有限公司	三氯氧磷	528.83	3.14%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	潍坊盛泰药业有限公司	葡萄糖	508.58	3.02%	万元
扬州晨化新材料股份有限公司	供应商	2016年1-6月	南通江山农药化工股份有限公司	亚磷酸三甲酯	412.74	2.45%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	中国石化化工销售有限公司华东分公司	环氧乙烷	4,680.85	12.06%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	武汉市四方行化工有限公司	脂肪醇	3,904.80	10.06%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	南京金浦锦湖化工有限公司	环氧丙烷	3,300.65	8.50%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	江苏天源化工有限公司	三氯氧磷	1,706.19	4.40%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	合盛硅业股份有限公司	生胶	1,676.50	4.32%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	漯河市新旺化工有限公司	亚磷酸三甲酯、亚磷酸三乙酯	1,624.69	4.19%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	山东金岭化工股份有限公司	环氧丙烷	1,383.70	3.56%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	内蒙古恒业成有机硅有限公司	生胶	1,058.50	2.73%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	潍坊盛泰药业有限公司	葡萄糖	1,078.48	2.78%	万元
扬州晨化新材料股份有限公司	供应商	2015年度	南通江山农药化工股份有限公司	亚磷酸三甲酯	994.46	2.56%	万元

凯龙高科技股份有限公司	客户	2017年1-6月	上汽依维柯红岩商用车有限公司、上海柴油机股份有限公司、上汽大通汽车有限公司南京分公司、上汽其它关联公司	DOC+DPF/SCR 系统	22,021.99	45.86%	万元
凯龙高科技股份有限公司	客户	2017年1-6月	广西玉柴机器股份有限公司、玉柴其它关联公司	SCR 系统、SCR 零部件	5,684.31	11.84%	万元
凯龙高科技股份有限公司	客户	2017年1-6月	东风朝阳朝柴动力有限公司	SCR 系统	5,382.42	11.21%	万元
凯龙高科技股份有限公司	客户	2017年1-6月	潍柴动力空气净化科技有限公司	SCR 系统	4,798.81	9.99%	万元
凯龙高科技股份有限公司	客户	2017年1-6月	北汽福田汽车股份有限公司 北京欧辉客车分公司、北汽福田汽车股份有限公司 诸城奥铃汽车厂、北汽福田其它关联公司	ATS 系统、SCR 系统	1,440.20	3.00%	万元
凯龙高科技股份有限公司	客户	2016年	潍柴动力空气净化科技有限公司	SCR 系统	15,033.98	24.63%	万元
凯龙高科技股份有限公司	客户	2016年	上汽依维柯红岩商用车有限公司、上汽依维柯红岩商用车有限公司配件销售分公司	SCR 系统、SCR 零部件	14,783.35	24.22%	万元
凯龙高科技股份有限公司	客户	2016年	广西玉柴机器股份有限公司、玉柴其它关联公司	SCR 系统、SCR 零部件	8,997.12	14.74%	万元
凯龙高科技股份有限公司	客户	2016年	东风朝阳朝柴动力有限公司	SCR 系统	4,772.93	7.82%	万元
